Time,Price
2012/12/7,13.5
2012/12/8,13.4
2012/12/9,13.4
2012/12/10,13.4
2012/12/11,13.6
2012/12/12,13.7
2012/12/13,13.7
2012/12/14,13.6
2012/12/15,13.5
2012/12/16,13.3
2012/12/17,13.3
2012/12/18,13.3
2012/12/19,13.6
2012/12/20,13.5
2012/12/21,13.5
2012/12/22,13.4
2012/12/23,13.3
2012/12/24,13.4
2012/12/25,13.4
2012/12/26,13.5
2012/12/27,13.4
2012/12/28,13.4
2012/12/29,13.4
2012/12/30,13.4
2012/12/31,13.5
2013/1/1,13.3
2013/1/2,13.3
2013/1/3,13.4
2013/1/4,13.5
2013/1/5,13.4
2013/1/6,13.4
2013/1/7,13.6
2013/1/8,13.7
2013/1/9,13.8
2013/1/10,14.1
2013/1/11,14.1
2013/1/12,14.2
2013/1/13,14.1
2013/1/14,14.3
2013/1/15,14.3
2013/1/16,14.7
2013/1/17,15.5
2013/1/18,15.7
2013/1/19,15.6
2013/1/20,15.7
2013/1/21,16.8
2013/1/22,17.3
2013/1/23,17.5
2013/1/24,16.9
2013/1/25,17.4
2013/1/26,17.9
2013/1/27,17.8
2013/1/28,18.7
2013/1/29,19.5
2013/1/30,19.7
2013/1/31,20.4
2013/2/1,20.5
2013/2/2,19.6
2013/2/3,20.6
2013/2/4,20.4
2013/2/5,20.6
2013/2/6,21.2
2013/2/7,22.1
2013/2/8,22.7
2013/2/9,23.6
2013/2/10,24
2013/2/11,24.6
2013/2/12,25.2
2013/2/13,24.2
2013/2/14,27.2
2013/2/15,27.1
2013/2/16,27.2
2013/2/17,26.8
2013/2/18,27
2013/2/19,29.4
2013/2/20,29.6
2013/2/21,29.8
2013/2/22,30.3
2013/2/23,29.8
2013/2/24,29.9
2013/2/25,30.4
2013/2/26,31.1
2013/2/27,30.9
2013/2/28,33.4
2013/3/1,34.5
2013/3/2,34.3
2013/3/3,34.5
2013/3/4,36.2
2013/3/5,40.3
2013/3/6,41
2013/3/7,42
2013/3/8,44.2
2013/3/9,46.8
2013/3/10,46
2013/3/11,48.4
2013/3/12,44.3
2013/3/13,46.9
2013/3/14,47.2
2013/3/15,47
2013/3/16,47
2013/3/17,47.4
2013/3/18,51.6
2013/3/19,59.1
2013/3/20,64.5
2013/3/21,70.8
2013/3/22,69.9
2013/3/23,64.3
2013/3/24,71.5
2013/3/25,73.6
2013/3/26,78.5
2013/3/27,88.9
2013/3/28,86.2
2013/3/29,90.5
2013/3/30,92.2
2013/3/31,93
2013/4/1,104
2013/4/2,118
2013/4/3,135
2013/4/4,132.1
2013/4/5,142.3
2013/4/6,142.6
2013/4/7,162.3
2013/4/8,187.5
2013/4/9,230
2013/4/10,165
2013/4/11,124.9
2013/4/12,117
2013/4/13,93
2013/4/14,90
2013/4/15,82.4
2013/4/16,68.4
2013/4/17,93.1
2013/4/18,109
2013/4/19,118.5
2013/4/20,126.6
2013/4/21,119.2
2013/4/22,127.4
2013/4/23,143.5
2013/4/24,154.2
2013/4/25,141.7
2013/4/26,136.9
2013/4/27,128
2013/4/28,134.4
2013/4/29,144
2013/4/30,139.2
2013/5/1,116.4
2013/5/2,106.3
2013/5/3,98.1
2013/5/4,112.9
2013/5/5,116
2013/5/6,112.3
2013/5/7,109.6
2013/5/8,113.2
2013/5/9,112.8
2013/5/10,117.7
2013/5/11,115.6
2013/5/12,114.8
2013/5/13,118
2013/5/14,111.4
2013/5/15,114.2
2013/5/16,118.2
2013/5/17,123.5
2013/5/18,123.2
2013/5/19,122.5
2013/5/20,122
2013/5/21,122.9
2013/5/22,123.8
2013/5/23,126.3
2013/5/24,133.1
2013/5/25,132
2013/5/26,133.5
2013/5/27,129.8
2013/5/28,129
2013/5/29,132.3
2013/5/30,128.8
2013/5/31,128.8
2013/6/1,129.3
2013/6/2,122.5
2013/6/3,120.7
2013/6/4,121.4
2013/6/5,121.9
2013/6/6,119
2013/6/7,111
2013/6/8,107.9
2013/6/9,100.4
2013/6/10,106.3
2013/6/11,109
2013/6/12,108.8
2013/6/13,103.9
2013/6/14,100
2013/6/15,99.8
2013/6/16,99.9
2013/6/17,101.9
2013/6/18,107.3
2013/6/19,108.3
2013/6/20,111.3
2013/6/21,109.5
2013/6/22,108.2
2013/6/23,107.9
2013/6/24,102.1
2013/6/25,103.3
2013/6/26,104
2013/6/27,101.7
2013/6/28,94.7
2013/6/29,95
2013/6/30,97.5
2013/7/1,84.6
2013/7/2,87.7
2013/7/3,76.9
2013/7/4,77.7
2013/7/5,66.3
2013/7/6,66.8
2013/7/7,72.5
2013/7/8,74.6
2013/7/9,74.2
2013/7/10,84.5
2013/7/11,91.2
2013/7/12,88.5
2013/7/13,91.4
2013/7/14,90.4
2013/7/15,93.1
2013/7/16,92.7
2013/7/17,90.5
2013/7/18,85.4
2013/7/19,85.8
2013/7/20,85.7
2013/7/21,85.5
2013/7/22,86.1
2013/7/23,86.9
2013/7/24,87.5
2013/7/25,89.4
2013/7/26,90.6
2013/7/27,89.1
2013/7/28,92.1
2013/7/29,93.3
2013/7/30,96.3
2013/7/31,97.9
2013/8/1,96.4
2013/8/2,97.2
2013/8/3,96.7
2013/8/4,96.6
2013/8/5,96.9
2013/8/6,97.1
2013/8/7,96.9
2013/8/8,94.8
2013/8/9,93.4
2013/8/10,93.3
2013/8/11,94.2
2013/8/12,95.1
2013/8/13,97.9
2013/8/14,98
2013/8/15,97.5
2013/8/16,98.3
2013/8/17,99.6
2013/8/18,98.8
2013/8/19,102.3
2013/8/20,105
2013/8/21,111.4
2013/8/22,109.7
2013/8/23,107.6
2013/8/24,108.7
2013/8/25,111.8
2013/8/26,112.2
2013/8/27,117.4
2013/8/28,117.6
2013/8/29,117.5
2013/8/30,123.2
2013/8/31,129.5
2013/9/1,128.3
2013/9/2,127.4
2013/9/3,127.6
2013/9/4,120.6
2013/9/5,120.5
2013/9/6,116.3
2013/9/7,119.1
2013/9/8,116.6
2013/9/9,120
2013/9/10,121.5
2013/9/11,125.4
2013/9/12,125.8
2013/9/13,126.5
2013/9/14,124.1
2013/9/15,124.6
2013/9/16,125.1
2013/9/17,126
2013/9/18,126.3
2013/9/19,124.2
2013/9/20,122.9
2013/9/21,122.6
2013/9/22,122.7
2013/9/23,122.2
2013/9/24,122.5
2013/9/25,123.4
2013/9/26,123.5
2013/9/27,123.5
2013/9/28,124.8
2013/9/29,125.2
2013/9/30,123.1
2013/10/1,125.5
2013/10/2,99.8
2013/10/3,116.8
2013/10/4,121.3
2013/10/5,121.1
2013/10/6,121.7
2013/10/7,123.2
2013/10/8,124.3
2013/10/9,125.8
2013/10/10,125.7
2013/10/11,125.5
2013/10/12,126.5
2013/10/13,130.4
2013/10/14,133
2013/10/15,138.6
2013/10/16,137.4
2013/10/17,142.7
2013/10/18,149.6
2013/10/19,159.8
2013/10/20,163.1
2013/10/21,174.2
2013/10/22,183.9
2013/10/23,200.6
2013/10/24,183.1
2013/10/25,178.1
2013/10/26,175.9
2013/10/27,185.7
2013/10/28,187.9
2013/10/29,198.2
2013/10/30,194.6
2013/10/31,198.2
2013/11/1,198.5
2013/11/2,200.9
2013/11/3,207.6
2013/11/4,225.2
2013/11/5,239.3
2013/11/6,253.7
2013/11/7,283.3
2013/11/8,323.8
2013/11/9,336.1
2013/11/10,311.9
2013/11/11,338.6
2013/11/12,350.2
2013/11/13,387.7
2013/11/14,418
2013/11/15,400
2013/11/16,435.3
2013/11/17,473.3
2013/11/18,585.2
2013/11/19,599
2013/11/20,550
2013/11/21,700
2013/11/22,760
2013/11/23,842.2
2013/11/24,813.7
2013/11/25,782.8
2013/11/26,849.6
2013/11/27,948
2013/11/28,1010
2013/11/29,1107.5
2013/11/30,1112.4
2013/12/1,955
2013/12/2,998.1
2013/12/3,1048
2013/12/4,1145
2013/12/5,1030.6
2013/12/6,872.6
2013/12/7,800.6
2013/12/8,730
2013/12/9,935.8
2013/12/10,1023
2013/12/11,921.8
2013/12/12,900.5
2013/12/13,912.6
2013/12/14,897.9
2013/12/15,864.9
2013/12/16,704.8
2013/12/17,731.9
2013/12/18,551.4
2013/12/19,702
2013/12/20,599
2013/12/21,607.7
2013/12/22,622.1
2013/12/23,640.4
2013/12/24,647.3
2013/12/26,740
2013/12/27,718.9
2013/12/28,701
2013/12/29,714.3
2013/12/30,737.2
2013/12/31,727.7
2014/1/1,740.3
2014/1/2,775
2014/1/3,812.1
2014/1/4,801.8
2014/1/5,904
2014/1/6,934.5
2014/1/7,791
2014/1/8,828.5
2014/1/9,850
2014/1/10,834.7
2014/1/11,896.9
2014/1/12,888.1
2014/1/13,818.4
2014/1/14,826.9
2014/1/15,839.7
2014/1/16,824
2014/1/17,789
2014/1/18,800
2014/1/19,830
2014/1/20,823.4
2014/1/21,810
2014/1/22,807
2014/1/23,816.2
2014/1/24,781.9
2014/1/25,810
2014/1/26,809.7
2014/1/27,760.3
2014/1/28,795
2014/1/29,800
2014/1/30,803.9
2014/1/31,800
2014/2/1,814.6
2014/2/3,810
2014/2/4,813
2014/2/5,791
2014/2/6,771.6
2014/2/7,720
2014/2/8,690
2014/2/9,710
2014/2/10,706.3
2014/2/11,658.9
2014/2/12,685
2014/2/13,634.3
2014/2/14,682
2014/2/15,653.4
2014/2/16,608
2014/2/17,663.8
2014/2/18,628
2014/2/19,630.4
2014/2/20,578.9
2014/2/21,568
2014/2/22,595.2
2014/2/23,619
2014/2/24,562.4
2014/2/25,515
2014/2/26,582
2014/2/27,579
2014/2/28,565
2014/3/1,568.2
2014/3/2,560.6
2014/3/3,658
2014/3/4,668
2014/3/5,675
2014/3/6,663
2014/3/7,621
2014/3/8,614.1
2014/3/9,621
2014/3/10,615
2014/3/11,615
2014/3/12,650
2014/3/13,642
2014/3/14,630
2014/3/15,641.6
2014/3/16,635
2014/3/17,624.3
2014/3/18,618.4
2014/3/19,611
2014/3/20,583.5
2014/3/21,568.8
2014/3/22,560
2014/3/23,566.2
2014/3/24,590
2014/3/25,582
2014/3/26,595
2014/3/27,498.5
2014/3/28,497.4
2014/3/29,491.9
2014/3/30,464.1
2014/3/31,452
2014/4/1,482.8
