Time,Price
2021-06-15,40139.0
2021-06-16,38332.0
2021-06-17,38061.0
2021-06-18,35802.0
2021-06-19,35585.8
2021-06-20,35631.0
2021-06-21,31761.0
2021-06-22,32553.0
2021-06-23,33703.0
2021-06-24,34656.6
2021-06-25,31584.0
2021-06-26,32359.0
2021-06-27,34717.0
2021-06-28,34484.0
2021-06-29,35895.9
2021-06-30,35043.5
2021-07-01,33554.4
2021-07-02,33816.0
2021-07-03,34758.0
2021-07-04,35289.0
2021-07-05,33668.0
2021-07-06,34140.0
2021-07-07,33886.0
2021-07-08,32873.9
2021-07-09,33769.0
2021-07-10,33506.0
2021-07-11,34239.0
2021-07-12,33090.0
2021-07-13,32727.0
2021-07-14,32822.6
2021-07-15,31857.0
2021-07-16,31429.0
2021-07-17,31559.0
2021-07-18,31824.0
2021-07-19,30847.0
2021-07-20,29806.1
2021-07-21,32141.0
2021-07-22,32320.0
2021-07-23,33597.1
2021-07-24,33845.0
2021-07-25,35407.0
2021-07-26,37296.0
2021-07-27,39563.0
2021-07-28,40004.0
2021-07-29,40041.0
2021-07-30,42169.0
2021-07-31,41409.0
2021-08-01,39922.0
2021-08-02,39156.0
2021-08-03,38207.0
2021-08-04,39754.0
2021-08-05,40887.0
2021-08-06,42830.0
2021-08-07,44589.0
2021-08-08,43770.0
2021-08-09,46293.0
2021-08-10,45612.0
2021-08-11,45546.0
2021-08-12,44423.0
2021-08-13,47842.0
2021-08-14,47084.0
2021-08-15,47031.0
2021-08-16,45940.0
2021-08-17,44698.0
2021-08-18,44744.0
2021-08-19,46765.0
2021-08-20,49332.0
2021-08-21,48868.0
2021-08-22,49264.0
2021-08-23,49539.0
2021-08-24,47714.0
2021-08-25,48989.0
2021-08-26,46832.0
2021-08-27,49076.1
2021-08-28,48914.0
2021-08-29,48800.0
2021-08-30,47008.0
2021-08-31,47157.0
2021-09-01,48844.0
2021-09-02,49291.0
2021-09-03,50000.0
2021-09-04,49899.0
2021-09-05,51762.0
2021-09-06,52676.0
2021-09-07,46778.0
2021-09-08,46088.0
2021-09-09,46389.0
2021-09-10,44852.0
2021-09-11,45169.0
2021-09-12,46069.0
2021-09-13,44960.0
2021-09-14,47078.0
2021-09-15,48136.0
2021-09-16,47786.0
2021-09-17,47292.0
2021-09-18,48309.0
2021-09-19,47239.0
2021-09-20,43002.0
2021-09-21,40664.0
2021-09-22,43582.6
2021-09-23,44882.0
2021-09-24,42878.0
2021-09-25,42711.0
2021-09-26,43180.0
2021-09-27,42191.0
2021-09-28,41064.0
2021-09-29,41551.0
2021-09-30,43830.0
2021-10-01,48157.0
2021-10-02,47675.0
2021-10-03,48243.0
2021-10-04,49252.0
2021-10-05,51508.0
2021-10-06,55331.0
2021-10-07,53793.0
2021-10-08,53925.0
2021-10-09,54978.0
2021-10-10,54701.0
2021-10-11,57468.0
2021-10-12,55967.0
2021-10-13,57381.0
2021-10-14,57354.0
2021-10-15,61709.0
2021-10-16,60867.5
2021-10-17,61511.0
2021-10-18,62034.0
2021-10-19,64237.0
2021-10-20,65988.0
2021-10-21,62200.0
2021-10-22,60708.0
2021-10-23,61302.0
2021-10-24,60847.0
2021-10-25,63100.0
2021-10-26,60290.0
